# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
100 1.78575 1.91296 1.8687
200 1.78575 1.91296 1.8687
300 1.78575 1.91296 1.8687
400 1.78575 1.91296 1.8687
500 1.78575 1.91296 1.8687
600 1.78575 1.91296 1.8687
700 1.78575 1.91296 1.8687
800 1.78575 1.91296 1.8687
900 1.78575 1.91296 1.8687
1000 1.78575 1.91296 1.8687
1100 1.78575 1.91296 1.8687
1200 1.78575 1.91296 1.8687
1300 1.78575 1.91296 1.8687
1400 1.78575 1.91296 1.8687
1500 1.78575 1.91296 1.8687
1600 1.78575 1.91296 1.8687
1700 1.78575 1.91296 1.8687
1800 1.78575 1.91296 1.8687
1900 1.78575 1.91296 1.8687
2000 1.78575 1.91296 1.8687
2100 1.78575 1.91296 1.8687
2200 1.78575 1.91296 1.8687
2300 1.78575 1.91296 1.8687
2400 1.78575 1.91296 1.8687
2500 1.78575 1.91296 1.8687
2600 1.78575 1.91296 1.8687
2700 1.78575 1.91296 1.8687
2800 1.78575 1.91296 1.8687
2900 1.78575 1.91296 1.8687
3000 1.78575 1.91296 1.8687
3100 1.78575 1.91296 1.8687
3200 1.78575 1.91296 1.8687
3300 1.78575 1.91296 1.8687
3400 1.78575 1.91296 1.8687
3500 1.78575 1.91296 1.8687
3600 1.78575 1.91296 1.8687
3700 1.78575 1.91296 1.8687
3800 1.78575 1.91296 1.8687
3900 1.78575 1.91296 1.8687
4000 1.78575 1.91296 1.8687
4100 1.78575 1.91296 1.8687
4200 1.78575 1.91296 1.8687
4300 1.78575 1.91296 1.8687
4400 1.78575 1.91296 1.8687
4500 1.78575 1.91296 1.8687
4600 1.78575 1.91296 1.8687
4700 1.78575 1.91296 1.8687
4800 1.78575 1.91296 1.8687
4900 1.78575 1.91296 1.8687
5000 1.78575 1.91296 1.8687
5100 1.78575 1.91296 1.8687
5200 1.78575 1.91296 1.8687
5300 1.78575 1.91296 1.8687
5400 1.78575 1.91296 1.8687
5500 1.78575 1.91296 1.8687
5600 1.78575 1.91296 1.8687
5700 1.78575 1.91296 1.8687
5800 1.78575 1.91296 1.8687
5900 1.78575 1.91296 1.8687
6000 1.78575 1.91296 1.8687
6100 1.78575 1.91296 1.8687
