# Time-averaged data for fix com
# TimeStep c_com[1] c_com[2] c_com[3]
200 1.76979 1.90501 1.84248
300 1.76979 1.90501 1.84248
400 1.76979 1.90501 1.84248
500 1.76979 1.90501 1.84248
600 1.76979 1.90501 1.84248
700 1.76979 1.90501 1.84248
800 1.76979 1.90501 1.84248
900 1.76979 1.90501 1.84248
1000 1.76979 1.90501 1.84248
1100 1.76979 1.90501 1.84248
1200 1.76979 1.90501 1.84248
1300 1.76979 1.90501 1.84248
1400 1.76979 1.90501 1.84248
1500 1.76979 1.90501 1.84248
1600 1.76979 1.90501 1.84248
1700 1.76979 1.90501 1.84248
1800 1.76979 1.90501 1.84248
1900 1.76979 1.90501 1.84248
2000 1.76979 1.90501 1.84248
2100 1.76979 1.90501 1.84248
2200 1.76979 1.90501 1.84248
2300 1.76979 1.90501 1.84248
2400 1.76979 1.90501 1.84248
2500 1.76979 1.90501 1.84248
2600 1.76979 1.90501 1.84248
2700 1.76979 1.90501 1.84248
2800 1.76979 1.90501 1.84248
2900 1.76979 1.90501 1.84248
3000 1.76979 1.90501 1.84248
3100 1.76979 1.90501 1.84248
3200 1.76979 1.90501 1.84248
3300 1.76979 1.90501 1.84248
3400 1.76979 1.90501 1.84248
3500 1.76979 1.90501 1.84248
3600 1.76979 1.90501 1.84248
3700 1.76979 1.90501 1.84248
3800 1.76979 1.90501 1.84248
3900 1.76979 1.90501 1.84248
4000 1.76979 1.90501 1.84248
4100 1.76979 1.90501 1.84248
4200 1.76979 1.90501 1.84248
4300 1.76979 1.90501 1.84248
4400 1.76979 1.90501 1.84248
4500 1.76979 1.90501 1.84248
4600 1.76979 1.90501 1.84248
4700 1.76979 1.90501 1.84248
4800 1.76979 1.90501 1.84248
4900 1.76979 1.90501 1.84248
5000 1.76979 1.90501 1.84248
5100 1.76979 1.90501 1.84248
5200 1.76979 1.90501 1.84248
5300 1.76979 1.90501 1.84248
5400 1.76979 1.90501 1.84248
5500 1.76979 1.90501 1.84248
5600 1.76979 1.90501 1.84248
5700 1.76979 1.90501 1.84248
5800 1.76979 1.90501 1.84248
5900 1.76979 1.90501 1.84248
6000 1.76979 1.90501 1.84248
6100 1.76979 1.90501 1.84248
6200 1.76979 1.90501 1.84248
6300 1.76979 1.90501 1.84248
6400 1.76979 1.90501 1.84248
6500 1.76979 1.90501 1.84248
6600 1.76979 1.90501 1.84248
6700 1.76979 1.90501 1.84248
6800 1.76979 1.90501 1.84248
6900 1.76979 1.90501 1.84248
7000 1.76979 1.90501 1.84248
7100 1.76979 1.90501 1.84248
7200 1.76979 1.90501 1.84248
7300 1.76979 1.90501 1.84248
7400 1.76979 1.90501 1.84248
7500 1.76979 1.90501 1.84248
7600 1.76979 1.90501 1.84248
7700 1.76979 1.90501 1.84248
7800 1.76979 1.90501 1.84248
7900 1.76979 1.90501 1.84248
8000 1.76979 1.90501 1.84248
8100 1.76979 1.90501 1.84248
8200 1.76979 1.90501 1.84248
8300 1.76979 1.90501 1.84248
8400 1.76979 1.90501 1.84248
8500 1.76979 1.90501 1.84248
8600 1.76979 1.90501 1.84248
8700 1.76979 1.90501 1.84248
8800 1.76979 1.90501 1.84248
8900 1.76979 1.90501 1.84248
9000 1.76979 1.90501 1.84248
9100 1.76979 1.90501 1.84248
9200 1.76979 1.90501 1.84248
9300 1.76979 1.90501 1.84248
9400 1.76979 1.90501 1.84248
9500 1.76979 1.90501 1.84248
9600 1.76979 1.90501 1.84248
9700 1.76979 1.90501 1.84248
9800 1.76979 1.90501 1.84248
9900 1.76979 1.90501 1.84248
10000 1.76979 1.90501 1.84248
10100 1.76979 1.90501 1.84248
10200 1.76979 1.90501 1.84248
10300 1.76979 1.90501 1.84248
10400 1.76979 1.90501 1.84248
10500 1.76979 1.90501 1.84248
10600 1.76979 1.90501 1.84248
10700 1.76979 1.90501 1.84248
10800 1.76979 1.90501 1.84248
10900 1.76979 1.90501 1.84248
